"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,13208,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,13216,"s_or_b64 exec, exec, s[10:11]",8,36,4,0,""
5,13220,"v_or_b32_e32 v82, 42, v132",8,32,0,0,""
5,13224,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,48,16,0,""
5,13232,"s_and_saveexec_b64 s[10:11], s[2:3]",8,36,4,128,""
5,13236,"s_cbranch_execz 19",8,32,0,32,""
5,13240,"v_bfe_u32 v83, v88, 16, 1",8,44,12,0,""
5,13248,"s_movk_i32 s2, 0x7fff",8,32,0,88,""
5,13252,"v_add3_u32 v83, v83, v88, s2",8,36,4,0,""
5,13260,"v_or_b32_e32 v84, 0x400000, v88",8,32,0,0,""
5,13268,"v_cmp_u_f32_e64 s[2:3], v88, v88",8,44,12,0,""
5,13276,"v_mul_lo_u32 v82, v82, s5",8,36,4,0,""
5,13284,"s_nop 0",8,32,32,0,""
5,13288,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,0,""
5,13296,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13300,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,40,8,0,""
5,13308,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,13316,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13320,"v_or_b32_e32 v82, 43, v132",8,32,0,0,""
5,13324,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,48,16,0,""
5,13332,"s_and_saveexec_b64 s[10:11], s[2:3]",8,36,4,128,""
5,13336,"s_cbranch_execz 19",8,32,0,32,""
5,13340,"v_bfe_u32 v83, v89, 16, 1",8,32,0,128,""
5,13348,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,13352,"v_add3_u32 v83, v83, v89, s2",8,36,4,0,""
5,13360,"v_or_b32_e32 v84, 0x400000, v89",8,32,0,0,""
5,13368,"v_cmp_u_f32_e64 s[2:3], v89, v89",8,32,0,0,""
5,13376,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13384,"s_nop 0",8,32,32,0,""
5,13388,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,44,12,0,""
5,13396,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13400,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,44,12,0,""
5,13408,"global_store_short_d16_hi v[82:83], v84, off",8,40,8,64,""
5,13416,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13420,"v_or_b32_e32 v82, 48, v132",8,32,0,0,""
5,13424,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,44,12,0,""
5,13432,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13436,"s_cbranch_execz 19",8,32,0,32,""
5,13440,"v_bfe_u32 v83, v90, 16, 1",8,36,4,128,""
5,13448,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,13452,"v_add3_u32 v83, v83, v90, s2",8,44,12,0,""
5,13460,"v_or_b32_e32 v84, 0x400000, v90",8,32,0,0,""
5,13468,"v_cmp_u_f32_e64 s[2:3], v90, v90",8,32,0,0,""
5,13476,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13484,"s_nop 0",8,32,32,0,""
5,13488,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,40,8,0,""
5,13496,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13500,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,52,20,0,""
5,13508,"global_store_short_d16_hi v[82:83], v84, off",8,48,16,64,""
5,13516,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13520,"v_or_b32_e32 v82, 49, v132",8,32,0,0,""
5,13524,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,40,8,0,""
5,13532,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13536,"s_cbranch_execz 19",8,32,0,32,""
5,13540,"v_bfe_u32 v83, v91, 16, 1",8,44,12,0,""
5,13548,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,13552,"v_add3_u32 v83, v83, v91, s2",8,48,16,0,""
5,13560,"v_or_b32_e32 v84, 0x400000, v91",8,32,0,0,""
5,13568,"v_cmp_u_f32_e64 s[2:3], v91, v91",8,52,20,0,""
5,13576,"v_mul_lo_u32 v82, v82, s5",8,36,4,0,""
5,13584,"s_nop 0",8,32,32,0,""
5,13588,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,0,""
5,13596,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13600,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,52,20,0,""
5,13608,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,13616,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13620,"v_or_b32_e32 v82, 50, v132",8,32,0,0,""
